NOMBDEP,NOMBPROV,NOMBDIST,Clasificacion_Climatica
ANCASH,HUARAZ,PAMPAS GRANDE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,OCROS,CARHUAPAMPA,Semi)rido con invierno seco. Templado.
ANCASH,PALLASCA,SANTA ROSA,Semiseco con invierno seco. Templado.
ANCASH,CORONGO,CORONGO,Lluvioso con oto
HUANCAVELICA,HUAYTARA,SANTIAGO DE CHOCORVOS,Semiseco con invierno seco. Frao.
ANCASH,HUARMEY,HUAYAN,Semi)rido con invierno seco. Templado.
ANCASH,AIJA,SUCCHA,Lluvioso con oto
ANCASH,AIJA,HUACLLAN,Semiseco con invierno seco. Templado.
LAMBAYEQUE,CHICLAYO,OYOTUN,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,CAJATAMBO,HUANCAPON,Semi)rido con invierno seco. Templado.
LAMBAYEQUE,FERREÑAFE,PITIPO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
CAJAMARCA,CHOTA,TOCMOCHE,Semi)rido con invierno seco. Templado.
CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,CASMA,YAUTAN,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,YAUYOS,COLONIA,Lluvioso con oto
LIMA,YAUYOS,SAN PEDRO DE PILAS,Semiseco con invierno seco. Frao.
HUANCAVELICA,ACOBAMBA,POMACOCHA,Semiseco con oto o e invierno secos. Frso.
LIMA,CAÑETE,PACARAN,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
HUANCAVELICA,ACOBAMBA,CAJA,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,CASTROVIRREYNA,CAPILLAS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
HUANCAVELICA,CASTROVIRREYNA,COCAS,Semiseco con invierno seco. Frao.
HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA,Semiseco con invierno seco. Frao.
LIMA,HUAROCHIRI,SANTA CRUZ DE COCACHACRA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
HUANCAVELICA,ANGARAES,CONGALLA,Lluvioso con oto
LIMA,CAÑETE,LUNAHUANA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,YAUYOS,HUANGASCAR,Semi)rido con invierno seco. Templado.
HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,Lluvioso con oto
LIMA,CAÑETE,ZUÑIGA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
HUANCAVELICA,ACOBAMBA,ACOBAMBA,Semiseco con oto o e invierno secos. Frso.
LIMA,CAÑETE,QUILMANA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,YAUYOS,LINCHA,Lluvioso con oto
LIMA,HUAROCHIRI,SANTIAGO DE ANCHUCAYA,Lluvioso con oto
LIMA,HUAROCHIRI,ANTIOQUIA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,HUARAL,ATAVILLOS ALTO,Lluvioso con oto
JUNIN,SATIPO,PANGOA,Lluvioso con invierno seco. Templado.
LIMA,HUARAL,LAMPIAN,Semi)rido con invierno seco. Templado.
LIMA,HUARAL,IHUARI,Semi)rido con invierno seco. Templado.
LIMA,HUARAL,SANTA CRUZ DE ANDAMARCA,Lluvioso con oto
LIMA,HUARAL,VEINTISIETE DE NOVIEMBRE,Lluvioso con oto
AYACUCHO,HUANTA,IGUAIN,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUANTA,SANTILLANA,Lluvioso con oto
LA LIBERTAD,GRAN CHIMU,LUCMA,Semiseco con invierno seco. Templado.
LA LIBERTAD,GRAN CHIMU,SAYAPULLO,Lluvioso con oto
LA LIBERTAD,SANCHEZ CARRION,SARTIMBAMBA,Lluvioso con oto
LA LIBERTAD,BOLIVAR,CONDORMARCA,Lluvioso con humedad abundante todas las estaciones del a
LIMA,HUAROCHIRI,SAN JUAN DE TANTARANCHE,Lluvioso con oto
LIMA,HUAROCHIRI,HUAROCHIRI,Lluvioso con oto
HUANCAVELICA,HUAYTARA,HUAYACUNDO ARMA,Semiseco con invierno seco. Frao.
HUANCAVELICA,HUAYTARA,SANTO DOMINGO DE CAPILLAS,Semiseco con invierno seco. Frao.
HUANCAVELICA,HUAYTARA,HUAYTARA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TUMBES,TUMBES,PAMPAS DE HOSPITAL,Semi rido con invierno y primavera secos. Calido.
TUMBES,TUMBES,SAN JACINTO,Semi rido con invierno y primavera secos. Calido.
TUMBES,ZARUMILLA,MATAPALO,Semi rido con invierno y primavera secos. Calido.
LIMA,HUAROCHIRI,CALLAHUANCA,Semiseco con invierno seco. Frao.
CAJAMARCA,CHOTA,MIRACOSTA,Lluvioso con invierno seco. Templado.
LAMBAYEQUE,FERREÑAFE,CAÑARIS,Semiseco con invierno seco. Templado.
PIURA,HUANCABAMBA,HUARMACA,Semiseco con invierno seco. Templado.
PIURA,MORROPON,SALITRAL,Semi rido con invierno y primavera secos. Calido.
ANCASH,CASMA,BUENA VISTA ALTA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
HUANCAVELICA,CHURCAMPA,CHURCAMPA,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,CHURCAMPA,LOCROJA,Lluvioso con oto
HUANCAVELICA,CHURCAMPA,ANCO,Lluvioso con oto
HUANCAVELICA,CHURCAMPA,SAN PEDRO DE CORIS,Semiseco con humedad abundante todas las estaciones del a
LIMA,CANTA,SANTA ROSA DE QUIVES,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,CANTA,LACHAQUI,Semiseco con invierno seco. Frao.
LIMA,LIMA,CARABAYLLO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,OYON,COCHAMARCA,Semiseco con invierno seco. Frao.
LIMA,OYON,PACHANGARA,Lluvioso con oto
LIMA,OYON,NAVAN,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,OYON,CAUJUL,Lluvioso con oto
LIMA,OYON,ANDAJES,Semiseco con invierno seco. Frao.
LIMA,HUAURA,SANTA LEONOR,Lluvioso con oto
LIMA,HUAURA,CHECRAS,Semiseco con invierno seco. Frao.
LIMA,OYON,OYON,Lluvioso con humedad abundante todas las estaciones del a
LIMA,BARRANCA,SUPE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,HUAURA,AMBAR,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,OCROS,SAN PEDRO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,OCROS,COCHAS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,BOLOGNESI,COLQUIOC,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,HUARMEY,HUARMEY,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,CAJATAMBO,GORGOR,Lluvioso con oto
LIMA,CAJATAMBO,MANAS,Semi)rido con invierno seco. Templado.
LA LIBERTAD,JULCAN,JULCAN,Lluvioso con oto
LA LIBERTAD,TRUJILLO,LAREDO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LA LIBERTAD,OTUZCO,SALPO,Semiseco con invierno seco. Templado.
LA LIBERTAD,SANTIAGO DE CHUCO,SITABAMBA,Lluvioso con oto
LA LIBERTAD,PATAZ,HUAYO,Lluvioso con humedad abundante todas las estaciones del a
ANCASH,PALLASCA,PALLASCA,Semiseco con invierno seco. Templado.
ANCASH,CORONGO,YUPAN,Semiseco con invierno seco. Templado.
LA LIBERTAD,VIRU,CHAO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,PALLASCA,BOLOGNESI,Semiseco con invierno seco. Templado.
LA LIBERTAD,SANTIAGO DE CHUCO,SANTA CRUZ DE CHUCA,Lluvioso con oto
LIMA,HUAROCHIRI,SAN BARTOLOME,Semi)rido con invierno seco. Templado.
LAMBAYEQUE,LAMBAYEQUE,SALAS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,HUAROCHIRI,SAN MATEO DE OTAO,Semiseco con invierno seco. Frao.
LIMA,HUAROCHIRI,SANTA EULALIA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,SANTA,CACERES DEL PERU,Semi)rido con invierno seco. Templado.
ANCASH,RECUAY,PARARIN,Semiseco con invierno seco. Templado.
ICA,PALPA,TIBILLO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
HUANCAVELICA,HUAYTARA,SANTIAGO DE QUIRAHUARA,Semiseco con invierno seco. Frao.
HUANCAVELICA,HUAYTARA,OCOYO,Semi)rido con invierno seco. Templado.
ICA,NASCA,EL INGENIO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
HUANCAVELICA,HUAYTARA,CORDOVA,Semi)rido con invierno seco. Frro.
HUANCAVELICA,HUAYTARA,SAN ISIDRO,Semi)rido con invierno seco. Frro.
ICA,ICA,YAUCA DEL ROSARIO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
HUANCAVELICA,HUAYTARA,QUERCO,Semiseco con invierno seco. Frao.
HUANCAVELICA,HUAYTARA,LARAMARCA,Semiseco con invierno seco. Frao.
HUANCAVELICA,HUAYTARA,SAN FRANCISCO DE SANGAYAICO,Semi)rido con invierno seco. Templado.
HUANCAVELICA,ACOBAMBA,ROSARIO,Lluvioso con oto
LIMA,YAUYOS,HONGOS,Lluvioso con oto
LIMA,YAUYOS,CATAHUASI,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,YAUYOS,CACRA,Lluvioso con oto
LIMA,YAUYOS,PUTINZA,Semi)rido con invierno seco. Templado.
HUANCAVELICA,ACOBAMBA,ANDABAMBA,Semiseco con humedad abundante todas las estaciones del a
LIMA,YAUYOS,TUPE,Lluvioso con oto
LIMA,YAUYOS,MADEAN,Semiseco con invierno seco. Frao.
LIMA,YAUYOS,VIÑAC,Semiseco con invierno seco. Frao.
LIMA,YAUYOS,CHOCOS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,HUARAL,SAN MIGUEL DE ACOS,Semiseco con invierno seco. Frao.
LIMA,HUARAL,HUARAL,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,YAUYOS,TAURIPAMPA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,HUAROCHIRI,SANTIAGO DE TUNA,Semi)rido con invierno seco. Templado.
LIMA,HUAROCHIRI,SAN ANDRES DE TUPICOCHA,Semiseco con invierno seco. Frao.
LIMA,HUAROCHIRI,SAN LORENZO DE QUINTI,Lluvioso con oto
LIMA,YAUYOS,ALLAUCA,Semiseco con invierno seco. Frao.
LIMA,HUAROCHIRI,SANGALLAYA,Semi)rido con invierno seco. Templado.
LIMA,HUAROCHIRI,SANTO DOMINGO DE LOS OLLEROS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,HUAROCHIRI,LANGA,Semiseco con invierno seco. Frao.
LIMA,HUAROCHIRI,CUENCA,Semiseco con invierno seco. Frao.
LIMA,HUAROCHIRI,SAN DAMIAN,Lluvioso con oto
JUNIN,HUANCAYO,PARIAHUANCA,Lluvioso con oto
LIMA,HUAROCHIRI,SURCO,Semiseco con invierno seco. Frao.
LIMA,HUAURA,LEONCIO PRADO,Lluvioso con oto
LIMA,HUAURA,SAYAN,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
HUANCAVELICA,CHURCAMPA,SAN MIGUEL DE MAYOCC,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,CHURCAMPA,LA MERCED,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,CHURCAMPA,EL CARMEN,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,HUAYTARA,QUITO-ARMA,Semi)rido con invierno seco. Templado.
ICA,CHINCHA,CHAVIN,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,YAUYOS,AZANGARO,Semiseco con invierno seco. Frao.
LIMA,YAUYOS,COCHAS,Semi)rido con invierno seco. Templado.
LIMA,YAUYOS,AYAVIRI,Lluvioso con oto
LIMA,YAUYOS,QUINOCAY,Semi)rido con invierno seco. Templado.
LIMA,YAUYOS,QUINCHES,Lluvioso con oto
LIMA,YAUYOS,HUAÑEC,Lluvioso con oto
LIMA,HUAROCHIRI,MARIATANA,Semiseco con invierno seco. Frao.
LIMA,YAUYOS,SAN JOAQUIN,Lluvioso con oto
HUANCAVELICA,CASTROVIRREYNA,TICRAPO,Semiseco con invierno seco. Frao.
AYACUCHO,LUCANAS,SAN PEDRO DE PALCO,Semiseco con invierno seco. Frao.
HUANCAVELICA,HUAYTARA,SAN ANTONIO DE CUSICANCHA,Semiseco con invierno seco. Frao.
ICA,PISCO,HUANCANO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,CAÑETE,COAYLLO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,YAUYOS,OMAS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,YAUYOS,HUANTAN,Lluvioso con oto
LIMA,YAUYOS,YAUYOS,Lluvioso con oto
LIMA,CAÑETE,CALANGO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,YAUYOS,HUAMPARA,Semi)rido con invierno seco. Templado.
LIMA,YAUYOS,LARAOS,Lluvioso con oto
LIMA,YAUYOS,CARANIA,Lluvioso con oto
LIMA,HUAROCHIRI,LAHUAYTAMBO,Semiseco con invierno seco. Frao.
LIMA,HUAROCHIRI,SAN PEDRO DE HUANCAYRE,Lluvioso con oto
LIMA,HUAROCHIRI,SAN PEDRO DE CASTA,Lluvioso con oto
LIMA,HUAROCHIRI,MATUCANA,Semiseco con invierno seco. Frao.
LIMA,HUAROCHIRI,SAN PEDRO DE LARAOS,Lluvioso con oto
LIMA,CANTA,HUAMANTANGA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,CANTA,CANTA,Semiseco con invierno seco. Frao.
LIMA,HUARAL,AUCALLAMA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,CANTA,SAN BUENAVENTURA,Semiseco con invierno seco. Frao.
LIMA,HUARAL,SUMBILCA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,CANTA,HUAROS,Lluvioso con humedad abundante todas las estaciones del a
LIMA,HUARAL,ATAVILLOS BAJO,Semiseco con invierno seco. Frao.
LIMA,HUARAL,PACARAOS,Lluvioso con oto
LIMA,HUAURA,PACCHO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
HUANCAVELICA,ACOBAMBA,MARCAS,Semiseco con humedad abundante todas las estaciones del a
JUNIN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA,Semiseco con humedad abundante todas las estaciones del a
LIMA,HUAROCHIRI,SAN MATEO,Lluvioso con oto
LIMA,HUAROCHIRI,SAN JUAN DE IRIS,Lluvioso con oto
LIMA,HUAROCHIRI,SAN ANTONIO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LIMA,HUAROCHIRI,HUACHUPAMPA,Semiseco con invierno seco. Frao.
LIMA,CANTA,ARAHUAY,Semi)rido con invierno seco. Templado.
LA LIBERTAD,JULCAN,HUASO,Lluvioso con oto
LA LIBERTAD,VIRU,VIRU,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,YUNGAY,QUILLO,Semiseco con invierno seco. Templado.
CAJAMARCA,CAJAMARCA,COSPAN,Lluvioso con oto
CAJAMARCA,SAN MARCOS,ICHOCAN,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CAJABAMBA,SITACOCHA,Lluvioso con oto
CAJAMARCA,SAN MARCOS,JOSE MANUEL QUIROZ,Lluvioso con oto
CAJAMARCA,CONTUMAZA,CONTUMAZA,Lluvioso con oto
ANCASH,PALLASCA,PAMPAS,Lluvioso con oto
LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,Lluvioso con oto
ANCASH,AIJA,CORIS,Semi)rido con invierno seco. Templado.
ANCASH,HUARMEY,CULEBRAS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LA LIBERTAD,BOLIVAR,BAMBAMARCA,Lluvioso con humedad abundante todas las estaciones del a
LIMA,CAJATAMBO,CAJATAMBO,Lluvioso con oto
ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,Semi)rido con invierno seco. Templado.
LIMA,CAJATAMBO,COPA,Lluvioso con oto
ANCASH,OCROS,CONGAS,Lluvioso con invierno seco. Freo.
ANCASH,BOLOGNESI,MANGAS,Lluvioso con oto
ANCASH,OCROS,OCROS,Lluvioso con oto
ANCASH,BOLOGNESI,LA PRIMAVERA,Semiseco con invierno seco. Templado.
ANCASH,OCROS,CAJAMARQUILLA,Lluvioso con oto
ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,Lluvioso con oto
ANCASH,BOLOGNESI,PACLLON,Lluvioso con oto
ANCASH,BOLOGNESI,TICLLOS,Lluvioso con oto
ANCASH,PALLASCA,TAUCA,Lluvioso con oto
ANCASH,PALLASCA,CABANA,Lluvioso con oto
ANCASH,OCROS,ACAS,Semi)rido con invierno seco. Templado.
ANCASH,OCROS,SANTIAGO DE CHILCAS,Lluvioso con oto
ANCASH,OCROS,SAN CRISTOBAL DE RAJAN,Lluvioso con oto
ANCASH,OCROS,LLIPA,Semi)rido con invierno seco. Templado.
ANCASH,BOLOGNESI,CANIS,Semi)rido con invierno seco. Templado.
ANCASH,RECUAY,TAPACOCHA,Lluvioso con oto
ANCASH,HUARMEY,COCHAPETI,Semi)rido con invierno seco. Templado.
ANCASH,RECUAY,COTAPARACO,Lluvioso con oto
ANCASH,HUARMEY,MALVAS,Lluvioso con oto
ANCASH,HUAYLAS,HUALLANCA,Semiseco con invierno seco. Templado.
ANCASH,HUAYLAS,YURACMARCA,Lluvioso con oto
ANCASH,SANTA,CHIMBOTE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,SANTA,MACATE,Semi)rido con invierno seco. Templado.
ANCASH,CORONGO,LA PAMPA,Semi)rido con invierno seco. Templado.
ANCASH,CORONGO,YANAC,Lluvioso con oto
LA LIBERTAD,JULCAN,CARABAMBA,Semiseco con invierno seco. Templado.
LA LIBERTAD,TRUJILLO,POROTO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LA LIBERTAD,PATAZ,PARCOY,Lluvioso con humedad abundante todas las estaciones del a
LA LIBERTAD,OTUZCO,PARANDAY,Semiseco con invierno seco. Templado.
LA LIBERTAD,OTUZCO,AGALLPAMPA,Lluvioso con oto
LA LIBERTAD,OTUZCO,LA CUESTA,Semiseco con invierno seco. Templado.
LA LIBERTAD,PATAZ,PIAS,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
LA LIBERTAD,OTUZCO,CHARAT,Semiseco con humedad abundante todas las estaciones del a
LA LIBERTAD,OTUZCO,OTUZCO,Lluvioso con oto
LA LIBERTAD,SANCHEZ CARRION,COCHORCO,Semiseco con oto
LA LIBERTAD,OTUZCO,USQUIL,Lluvioso con oto
LA LIBERTAD,SANCHEZ CARRION,CHUGAY,Lluvioso con oto
LA LIBERTAD,OTUZCO,HUARANCHAL,Semiseco con humedad abundante todas las estaciones del a
LA LIBERTAD,PATAZ,PATAZ,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,SAN MIGUEL,NIEPOS,Lluvioso con oto
CAJAMARCA,SAN MIGUEL,LA FLORIDA,Semi)rido con invierno seco. Templado.
LAMBAYEQUE,CHICLAYO,CHONGOYAPE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
CAJAMARCA,SANTA CRUZ,CATACHE,Lluvioso con oto
LAMBAYEQUE,FERREÑAFE,INCAHUASI,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,JAEN,POMAHUACA,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,JAEN,SAN FELIPE,Semiseco con invierno seco. Templado.
LAMBAYEQUE,LAMBAYEQUE,JAYANCA,Erido con deficiencia de humedad en todas las estaciones del aeo. Celido.
TUMBES,CONTRALMIRANTE VILLAR,CASITAS,Semi rido con invierno y primavera secos. Calido.
PIURA,MORROPON,SAN JUAN DE BIGOTE,Semi rido con invierno y primavera secos. Calido.
PIURA,MORROPON,BUENOS AIRES,Semi rido con invierno y primavera secos. Calido.
PIURA,HUANCABAMBA,CANCHAQUE,Semi rido con invierno y primavera secos. Calido.
PIURA,HUANCABAMBA,LALAQUIZ,Semi rido con invierno y primavera secos. Calido.
PIURA,MORROPON,SANTA CATALINA DE MOSSA,Semi)rido con invierno seco. Templado.
PIURA,MORROPON,YAMANGO,Semi)rido con invierno seco. Templado.
PIURA,MORROPON,MORROPON,Semi rido con invierno y primavera secos. Calido.
PIURA,MORROPON,CHALACO,Lluvioso con invierno seco. Templado.
PIURA,MORROPON,SANTO DOMINGO,Muy lluvioso con humedad abundante todas las estaciones del aSo. Templado.
PIURA,MORROPON,CHULUCANAS,Erido con deficiencia de humedad en todas las estaciones del aeo. Celido.
PIURA,AYABACA,FRIAS,Semi)rido con invierno seco. Templado.
PIURA,AYABACA,PACAIPAMPA,Lluvioso con humedad abundante todas las estaciones del a
PIURA,AYABACA,SAPILLICA,Semi)rido con invierno seco. Templado.
PIURA,AYABACA,LAGUNAS,Lluvioso con invierno seco. Templado.
PIURA,PIURA,TAMBO GRANDE,Erido con deficiencia de humedad en todas las estaciones del aeo. Celido.
PIURA,PIURA,LAS LOMAS,Semi rido con invierno y primavera secos. Calido.
PIURA,AYABACA,MONTERO,Lluvioso con invierno seco. Templado.
PIURA,AYABACA,PAIMAS,Semi)rido con invierno seco. Templado.
PIURA,AYABACA,SICCHEZ,Semi)rido con invierno seco. Templado.
PIURA,AYABACA,JILILI,Semi)rido con invierno seco. Templado.
PIURA,AYABACA,AYABACA,Lluvioso con invierno seco. Templado.
PIURA,AYABACA,SUYO,Erido con deficiencia de humedad en todas las estaciones del aeo. Celido.
PIURA,SULLANA,MARCAVELICA,Erido con deficiencia de humedad en todas las estaciones del aeo. Celido.
PIURA,SULLANA,LANCONES,Erido con deficiencia de humedad en todas las estaciones del aeo. Celido.
HUANCAVELICA,ANGARAES,JULCAMARCA,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,ANGARAES,CHINCHO,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,PARINACOCHAS,UPAHUACHO,Semiseco con invierno seco. Frao.
AYACUCHO,LUCANAS,SANTA LUCIA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AYACUCHO,LUCANAS,SAN CRISTOBAL,Semiseco con invierno seco. Frao.
AYACUCHO,PARINACOCHAS,CORONEL CASTAÑEDA,Lluvioso con invierno seco. Freo.
AYACUCHO,LUCANAS,SAISA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AYACUCHO,PAUCAR DEL SARA SARA,MARCABAMBA,Semiseco con invierno seco. Frao.
AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA,Semiseco con invierno seco. Frao.
AYACUCHO,LUCANAS,LEONCIO PRADO,Semiseco con invierno seco. Frao.
AYACUCHO,LUCANAS,OCAÑA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AYACUCHO,LUCANAS,OTOCA,Semiseco con invierno seco. Frao.
AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RAVACAYCO,Semiseco con invierno seco. Frao.
AYACUCHO,LUCANAS,HUAC-HUAS,Semi rido con invierno y primavera secos. Templado.
AYACUCHO,LUCANAS,LARAMATE,Semiseco con invierno seco. Frao.
AYACUCHO,LUCANAS,LLAUTA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AYACUCHO,PARINACOCHAS,PACAPAUSA,Semiseco con invierno seco. Frao.
AYACUCHO,HUANTA,LURICOCHA,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUAMANGA,PACAYCASA,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUANTA,HUANTA,Lluvioso con oto
AYACUCHO,HUANTA,AYAHUANCO,Lluvioso con oto
JUNIN,SATIPO,VIZCATAN DEL ENE,Lluvioso con invierno seco. Templado.
AYACUCHO,HUANTA,CHACA,Lluvioso con oto
LA LIBERTAD,ASCOPE,ASCOPE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LA LIBERTAD,ASCOPE,CASA GRANDE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
CAJAMARCA,CONTUMAZA,CUPISNIQUE,Semiseco con invierno seco. Templado.
APURIMAC,CHINCHEROS,URANMARCA,Lluvioso con oto
