0,1,2,3,4,5,6,7,8,9,10,11
SEP-2016,3.10,1.78,1.48,1.46,2.63,1.84,1.95,1.51,2.87,1.45,2.01
OCT-2016,2.66,1.61,1.40,1.41,1.96,2.19,1.73,1.54,2.93,1.34,1.71
NOV-2016,2.45,1.40,1.51,1.43,1.85,2.56,1.54,1.33,2.46,1.42,1.46
DIC-2016,2.18,1.42,1.60,1.64,1.63,1.57,1.68,1.44,2.14,1.73,1.43
ENE-2017,1.95,1.01,1.21,1.39,1.08,1.21,0.97,1.29,1.81,1.67,0.85
FEB-2017,2.06,0.93,0.95,1.06,1.44,1.19,0.75,1.21,1.93,1.16,0.67
MAR-2017,2.08,0.83,0.93,0.91,1.22,1.33,0.82,1.02,1.81,0.92,0.65
ABR-2017,1.61,0.63,0.85,0.82,1.23,1.37,0.68,0.72,1.43,0.82,0.57
MAY-2017,1.43,0.68,0.82,0.81,1.20,1.26,0.75,0.75,1.22,0.80,0.62
JUN-2017,1.34,0.65,0.87,0.84,1.16,1.18,0.74,0.68,1.14,0.83,0.61
JUL-2017,1.38,0.67,0.77,0.81,1.39,1.30,0.77,0.63,1.13,0.75,0.66
AGO-2017,1.43,0.61,0.74,0.74,1.26,1.26,0.71,0.58,1.04,0.75,0.64
SEP-2017,1.44,0.54,0.70,0.65,1.35,1.18,0.65,0.45,1.03,0.60,0.63
OCT-2017,1.05,0.49,0.66,0.63,1.15,1.05,0.78,0.45,1.00,0.60,0.51
NOV-2017,1.09,0.52,0.66,0.57,0.96,1.04,0.69,0.52,1.07,0.45,0.51
DIC-2017,1.27,0.42,0.61,0.48,1.01,1.14,0.64,0.42,1.32,0.36,0.43
ENE-2018,1.64,0.44,0.53,0.41,1.15,1.51,0.71,0.39,1.50,0.29,0.52
FEB-2018,1.66,0.56,0.65,0.62,1.19,1.27,0.69,0.50,1.51,0.53,0.57
MAR-2018,1.44,0.73,0.73,0.71,0.97,1.12,0.75,0.70,1.11,0.67,0.73
ABR-2018,1.20,0.71,0.78,0.75,0.94,1.03,0.75,0.67,1.00,0.73,0.74
MAY-2018,1.23,0.76,0.82,0.80,0.99,0.99,0.83,0.77,0.90,0.78,0.78
JUN-2018,1.71,0.71,0.85,0.83,1.11,0.98,0.81,0.71,1.08,0.79,0.75
JUL-2018,1.96,0.75,0.83,0.81,1.11,1.04,0.85,0.91,1.23,0.77,0.77
AGO-2018,2.38,0.91,1.03,0.96,1.10,1.18,1.09,0.84,1.29,0.86,0.97
SEP-2018,2.45,1.03,1.03,0.98,1.43,1.32,1.25,0.90,1.86,0.89,1.17
OCT-2018,2.48,1.00,0.84,0.79,1.45,1.32,1.51,0.97,2.21,0.76,1.04
NOV-2018,2.51,0.77,0.94,0.81,1.65,1.79,1.03,0.77,2.22,0.67,0.77
DIC-2018,3.06,0.92,0.90,0.85,2.22,2.01,1.28,0.80,2.83,0.76,1.05
ENE-2019,2.67,1.20,1.11,1.09,1.97,1.63,1.34,1.13,2.43,0.99,1.23
FEB-2019,1.95,1.26,1.47,1.55,1.46,1.13,1.33,1.40,1.87,1.60,1.04
MAR-2019,2.17,1.36,1.52,1.47,1.46,1.32,1.44,1.33,1.99,1.41,1.30
ABR-2019,2.13,1.16,1.34,1.30,1.45,1.32,1.29,1.37,2.02,1.17,1.19
MAY-2019,1.82,0.95,1.04,1.01,1.35,1.21,1.20,0.85,1.39,0.97,0.98
JUN-2019,1.55,1.03,1.21,1.15,1.55,1.17,1.24,1.15,1.37,1.17,0.95
JUL-2019,1.73,1.13,1.60,1.52,1.64,1.40,1.48,1.10,1.48,1.39,1.10
AGO-2019,1.92,1.12,1.39,1.31,1.39,1.44,1.35,1.13,1.46,1.24,1.10
SEP-2019,2.28,1.47,1.51,1.48,1.75,1.75,2.00,1.42,1.99,1.48,1.50
OCT-2019,2.34,1.49,1.47,1.41,1.69,2.12,1.79,1.54,2.15,1.33,1.47
NOV-2019,2.60,1.52,1.38,1.24,2.03,2.48,1.69,1.14,2.48,1.09,1.59
DIC-2019,2.46,1.17,1.11,1.01,1.86,2.30,1.69,0.79,2.39,0.93,1.28
ENE-2020,1.74,0.75,0.92,0.91,0.90,1.17,1.05,0.67,1.58,0.89,0.87
FEB-2020,1.69,0.64,0.86,0.93,1.24,1.06,0.71,0.65,1.30,0.98,0.62
MAR-2020,1.39,0.65,0.73,0.73,0.87,1.06,0.65,1.00,1.38,0.90,0.65
ABR-2020,1.49,0.68,0.75,0.66,0.89,1.10,0.73,0.69,1.25,0.60,0.72
MAY-2020,1.18,0.50,0.58,0.51,0.71,0.85,0.60,0.43,0.87,0.44,0.51
